,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
305,6/12/1962,INTUnit4,5,14,2,0,14,7,5,0,1
306,6/13/1962,INTUnit4,6,14,2,0,14,6,7,0,3
307,6/14/1962,INTUnit4,5,12,1,0,12,3,6,1,0
308,6/15/1962,INTUnit4,3,12,1,0,12,4,4,0,2
309,6/16/1962,INTUnit4,0,13,1,0,13,1,1,3,0
310,6/17/1962,INTUnit4,1,14,1,1,14,4,2,1,0
311,6/18/1962,INTUnit4,2,16,1,1,16,5,2,0,0
312,6/19/1962,INTUnit4,4,16,2,1,16,5,7,2,0
313,6/20/1962,INTUnit4,7,13,2,1,13,7,5,0,4
314,6/21/1962,INTUnit4,6,14,1,0,14,3,6,0,2
315,6/22/1962,INTUnit4,2,14,0,0,14,1,5,0,0
316,6/23/1962,INTUnit4,0,12,0,0,12,1,3,7,0
317,6/24/1962,INTUnit4,6,11,0,0,11,8,1,0,2
318,6/25/1962,INTUnit4,9,13,0,0,13,6,8,1,0
319,6/26/1962,INTUnit4,8,12,1,0,12,7,6,0,1
320,6/27/1962,INTUnit4,9,11,1,0,11,6,7,0,0
321,6/28/1962,INTUnit4,9,9,2,0,9,6,7,0,6
322,6/29/1962,INTUnit4,4,7,2,0,7,0,5,2,0
323,6/30/1962,INTUnit4,0,8,2,0,8,2,4,6,0
324,7/1/1962,INTUnit4,5,8,1,0,8,8,1,0,3
325,7/2/1962,INTUnit4,7,10,1,0,10,5,6,1,0
326,7/3/1962,INTUnit4,7,11,0,0,11,6,5,0,2
327,7/4/1962,INTUnit4,7,10,0,0,10,4,4,0,1
328,7/5/1962,INTUnit4,6,10,0,0,10,3,5,0,0
329,7/6/1962,INTUnit4,2,12,0,0,12,3,4,0,1
330,7/7/1962,INTUnit4,1,11,0,0,11,2,5,0,2
331,7/8/1962,INTUnit4,1,6,0,0,6,0,0,8,0
332,7/9/1962,INTUnit4,2,12,1,0,12,8,2,0,3
333,7/10/1962,INTUnit4,5,12,1,0,12,5,5,0,0
334,7/11/1962,INTUnit4,8,9,1,0,9,5,6,0,2
335,7/12/1962,INTUnit4,9,5,1,0,5,3,5,0,0
336,7/13/1962,INTUnit4,8,5,0,0,5,3,4,0,3
